Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
1,Marcos Acuña,ar ARG,DF,Sevilla,31-028,1991,6.1,0.66,0.16,0,2.3,1.31,0,9.02,1.8,1.64,0,0.16,0,8.36,1.64,0.98,62.5,Matches,81442ecb
2,Álvaro Aguado,es ESP,MF,Valladolid,26-208,1996,8.3,0.12,0,0,0.48,1.08,0,2.17,0.6,0.12,0,0.12,0,5.42,0.96,1.08,47.1,Matches,014aa7bd
3,Joseph Aidoo,gh GHA,DF,Celta Vigo,27-057,1995,14,0.14,0,0,0.64,0.43,0,0,0.79,1.21,0,0.07,0,6.14,1.71,1.79,49,Matches,18abe173
4,Sergio Akieme,es ESP,DF,Almería,24-344,1997,14,0.21,0,0,0.86,0.64,0,2.64,0.64,0.93,0,0,0,4.93,0.64,0.57,52.9,Matches,06efa9dc
6,David Alaba,at AUT,DF,Real Madrid,30-154,1992,12.9,0.23,0,0,0.47,0.16,0,1.24,0.85,0.39,0,0,0,4.73,0.31,0.23,57.1,Matches,05439de2
8,Jordi Alba,es ESP,DF,Barcelona,33-249,1989,7.6,0.26,0,0,0.92,0.26,0.66,4.47,0.53,1.18,0,0,0,6.71,0.39,0.66,37.5,Matches,4.60E+197
9,Raúl Albiol,es ESP,DF,Villarreal,37-082,1985,12.9,0.31,0,0,0.7,0.85,0,0.08,0.7,0.7,0,0,0,4.26,1.94,0.85,69.4,Matches,4bd414c1
10,Rubén Alcaraz,es ESP,MF,Cádiz,31-208,1991,5.7,0.88,0.18,0.18,1.75,2.28,0,1.58,0.7,1.58,0,0,0,7.02,1.23,1.05,53.8,Matches,036bba5f
12,Iván Alejo,es ESP,MFFW,Cádiz,27-288,1995,7.3,0.68,0,0,3.15,2.74,0.14,6.03,0.27,2.05,0,0,0,4.66,1.92,1.23,60.9,Matches,3d7e48ce
13,Carles Aleñá,es ESP,MF,Getafe,24-324,1998,11.4,0.53,0,0,2.11,2.46,0.09,1.14,0.18,0.7,0,0,0,4.82,0.61,1.14,35,Matches,6c811eb7
17,Domingos André Ribeiro Almeida,pt POR,MFFW,Valencia,22-179,2000,7.8,0,0,0,1.41,1.28,0,2.18,0.64,0.9,0,0,0,5.38,0.9,1.54,36.8,Matches,e6697917
18,Marcos Alonso,es ESP,DF,Barcelona,31-332,1990,5,0.2,0,0,0.6,0.8,0,0.8,1.2,0.8,0,0,0,5.2,1.4,1,58.3,Matches,f4290206
20,Yeray Álvarez,es ESP,DF,Athletic Club,27-305,1995,11.7,0.17,0,0,0.77,0.94,0,0.51,2.22,0.85,0,0,0,7.52,2.22,1.37,61.9,Matches,3ecc11d8
23,Fabrizio Angileri,ar ARG,DF,Getafe,28-255,1994,5.7,0.35,0.18,0,1.05,0.18,0,1.58,1.05,0.88,0,0.18,0,2.81,2.46,1.23,66.7,Matches,fdd26d71
25,Mauro Arambarri,uy URU,MF,Getafe,27-056,1995,5.7,0.35,0.18,0.18,1.58,1.4,0,4.39,0.88,0.7,0,0,0,5.26,0.7,0.88,44.4,Matches,58afe001
